,rank,university,overall_score,academic_reputation,employer_reputation,faculty_student_ratio,citations_per_faculty,international_faculty_ratio,international_students_ratio,international_research_network,employment_outcomes,sustainability,equal_rank,country,founding_date,student_population
77,78,Durham University,65.1,59.5,89.3,27.8,53.3,97.5,86.9,86.2,29.2,97.6,,United Kingdom,1832,22130
78,79,Korea University,64.7,82.2,94,81,36.6,13.6,36.3,19.6,70.6,58.6,,South Korea,1905,33000
79,80,Osaka University,63.9,81.3,89.1,55.3,62.7,28.6,13.2,26.7,23.4,58.6,,Japan,1931,15194
80,81,"Trinity College Dublin, The University of Dublin",63.5,69.3,39.8,23.7,64.1,99.8,92.5,82.2,70.6,75.6,equal,Ireland,1592,21000
81,81,University of Southampton,63.5,51.5,51.2,52.8,71.4,96.1,97.4,97,32.5,82.7,equal,United Kingdom,1862,22600
82,83,Pennsylvania State University,63.1,77.5,63,28.4,62.9,23.4,26.8,96.6,47.5,95.1,,United States,1855,88116
83,84,University of Birmingham,63,67.5,75.7,41.3,38.2,92.3,83.9,96,29.5,80.4,,United Kingdom,1900,45700
84,85,Lund University,62.8,69.3,47.5,50.2,37.7,98.8,77.4,95.2,66,99.1,equal,Sweden,1666,45000
85,85,Universidade de SÃ£o Paulo,62.8,92.4,82.9,19.2,29.9,6,2.3,90.9,89.7,96.1,equal,Brazil,1934,58000
86,87,Lomonosov Moscow State University,62.2,81.2,78.3,99.8,4.6,20.3,92.3,85.2,82.2,13.4,equal,Russia,1755,47000
87,87,UniversitÃ¤t Heidelberg,62.2,78.3,52,99.7,38.2,52.5,50.4,89.7,19.8,42.6,equal,Germany,1386,28000
88,89,The University of Adelaide,62,54.2,36.5,16.2,87.1,100,99.6,78.8,38.4,96.3,,Australia,1874,29000
89,90,University of Technology Sydney,61.8,43.4,57.8,9,95.3,96.6,93.6,79.7,30.1,93.1,,Australia,1988,44000
90,91,Tokyo Institute of Technology (Tokyo Tech),61.6,74.4,94.8,84.4,53,31.8,31.7,8.9,19.7,18,equal,Japan,1881,6100
91,91,University of Zurich,61.6,59.1,27.6,89.9,52,100,53,87.2,75.2,80.2,equal,Switzerland,1833,"28,000"
92,93,Boston University,61.4,61.7,68.3,32.7,60.1,21.6,87.5,72.6,68.6,85.9,equal,United States,1839,37557
93,93,Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),61.4,96.6,98.2,39.8,2.7,8.3,2.5,84.5,68.4,88.5,equal,Mexico,1551,360000
94,95,Universidad de Buenos Aires (UBA),61,93.3,98,73.5,1.7,62.6,66.7,28.1,26.2,18.8,equal,Argentina,1821,328000
95,95,University of St Andrews,61,47.3,67.2,64.9,57.7,98.7,100,51.1,22.4,92.1,equal,United Kingdom,1410,10425
96,97,Georgia Institute of Technology,60.9,67.4,85.1,15.3,67.1,38.8,65.4,33.2,41.7,70.4,,United States,1885,18415
97,98,Freie Universitaet Berlin,60.8,80.8,51,4.4,71.4,62.8,43.6,84.9,21.9,60.1,,Germany,1948,33500
98,99,Purdue University,60.7,63.9,81.2,10.3,68.4,41.5,45.8,75.4,53.4,67.4,,United States,1869,106331
99,100,Pohang University of Science And Technology (POSTECH),60.4,51.6,75.9,99.9,98.3,33.8,2.6,1.3,13.4,16.9,equal,South Korea,1986,3000
100,100,University of Nottingham,60.4,60.7,72.1,32.2,46.5,90,75.2,98.4,24.4,80,equal,United Kingdom,1881,37260
101,102,University of Wisconsin-Madison,60,80.2,47.8,61.3,37.4,30.9,22.8,83.6,73.1,83.7,,United States,1848,48000
102,103,Pontificia Universidad CatÃ³lica de Chile (UC),59.9,92.9,99.5,20.6,11.6,16.4,3.5,56.8,76.3,91.3,,Chile,1888,46937
103,104,The University of Sheffield,59.7,58.7,52.3,54.7,46.9,84,97.5,96.1,24.9,76.3,,United Kingdom,1828,30307
104,105,Uppsala University,59.4,62.7,30.5,47.7,45.6,98.3,82.4,95.5,58.2,99.4,,Sweden,1477,52000
